"sec"    "mA"    "mV"
417.499   -0.841613531112671   308.137817382813
417.598   -0.823822855949402   306.543243408203
417.698   -0.829769909381866   304.379730224609
417.797   -0.827770709991455   303.203002929688
417.897   -0.831743896007538   300.660064697266
417.996   -0.804058253765106   298.724426269531
418.096   -0.843587458133698   295.497863769531
418.195   -0.831743896007538   294.586883544922
418.295   -0.813953220844269   292.802825927734
418.394   -0.845586657524109   290.145690917969
418.494   -0.809980034828186   289.50048828125
418.593   -0.827770709991455   286.236053466797
418.692   -0.808006107807159   285.059783935547
418.792   -0.823822855949402   282.934173583984
418.891   -0.804058253765106   281.188018798828
418.991   -0.819875001907349   278.075653076172
419.09   -0.786267578601837   276.936798095703
419.19   -0.792189359664917   274.659118652344
419.289   -0.806032180786133   271.281005859375
419.389   -0.786267578601837   270.407928466797
419.488   -0.792189359664917   268.168609619141
419.588   -0.794163286685944   265.701446533203
419.687   -0.77045089006424   264.107360839844
419.787   -0.762529850006104   262.247039794922
419.886   -0.788241505622864   259.628295898438
419.986   -0.756608068943024   257.692169189453
420.084   -0.736843466758728   256.515930175781
420.183   -0.746713101863861   252.416290283203
420.283   -0.766503036022186   250.328567504883
420.382   -0.730896353721619   249.569671630859
420.482   -0.732870280742645   247.74772644043
420.581   -0.721026718616486   245.128494262695
420.681   -0.724974572658539   243.913848876953
420.78   -0.715079665184021   241.598281860352
420.88   -0.732870280742645   239.169006347656
420.979   -0.723000645637512   236.626052856445
421.079   -0.721026718616486   234.386764526367
421.178   -0.721026718616486   232.336944580078
421.278   -0.715079665184021   230.818649291992
421.377   -0.713105738162994   228.123626708984
421.477   -0.685420095920563   226.795303344727
421.576   -0.693341135978699   224.745483398438
421.676   -0.705210030078888   222.771469116211
421.775   -0.685420095920563   221.291076660156
421.875   -0.685420095920563   219.355438232422
421.974   -0.685420095920563   217.950836181641
422.074   -0.691367208957672   215.217910766602
422.173   -0.673576533794403   213.585922241211
422.272   -0.671602606773376   211.384521484375
422.372   -0.677524387836456   208.310043334961
422.471   -0.689393281936646   206.184432983398
422.571   -0.683446168899536   204.172515869141
422.67   -0.671602606773376   202.388473510742
422.77   -0.651812732219696   201.098037719727
422.869   -0.651812732219696   198.744567871094
422.969   -0.691367208957672   195.366424560547
423.068   -0.66368156671524   193.582382202148
423.168   -0.66368156671524   191.836227416992
423.267   -0.655785858631134   190.052658081055
423.367   -0.653786659240723   187.888671875
423.466   -0.66368156671524   185.611465454102
423.566   -0.655785858631134   183.485870361328
423.665   -0.661707639694214   181.588119506836
423.765   -0.651812732219696   179.310440063477
