"sec"   "mA"   "mV"
0.974   -617.689331054688   -837.865661621094
0.98   -617.689331054688   -837.865661621094
0.985   -617.689331054688   -837.865661621094
0.99   -617.786315917969   -837.941467285156
0.995   -617.786315917969   -837.941467285156
1   -617.747436523438   -838.548950195313
1.006   -617.747436523438   -838.548950195313
1.011   -617.689331054688   -839.156433105469
1.016   -617.689331054688   -839.156433105469
1.021   -617.669799804688   -839.763916015625
1.026   -617.669799804688   -839.763916015625
1.032   -617.689331054688   -840.067687988281
1.037   -617.689331054688   -840.067687988281
1.042   -617.689331054688   -840.067687988281
1.047   -617.708679199219   -840.560974121094
1.052   -617.708679199219   -840.560974121094
1.057   -617.689331054688   -840.941040039063
1.063   -617.689331054688   -840.941040039063
1.068   -617.708679199219   -841.244750976563
1.073   -617.708679199219   -841.244750976563
1.078   -617.72802734375   -841.510620117188
1.083   -617.72802734375   -841.510620117188
1.089   -617.72802734375   -841.814331054688
1.094   -617.72802734375   -841.814331054688
1.099   -617.72802734375   -841.814331054688
1.104   -617.747436523438   -842.7255859375
1.109   -617.747436523438   -842.7255859375
1.114   -617.72802734375   -842.990905761719
1.12   -617.72802734375   -842.990905761719
1.125   -617.72802734375   -843.408874511719
1.13   -617.72802734375   -843.408874511719
1.135   -617.708679199219   -843.712646484375
1.14   -617.708679199219   -843.712646484375
1.146   -617.708679199219   -844.054260253906
1.151   -617.708679199219   -844.054260253906
1.156   -617.708679199219   -844.054260253906
1.161   -617.669799804688   -844.509643554688
1.166   -617.669799804688   -844.509643554688
1.171   -617.708679199219   -844.775512695313
1.177   -617.708679199219   -844.775512695313
1.182   -617.708679199219   -845.117126464844
1.187   -617.708679199219   -845.117126464844
1.192   -617.650451660156   -845.079223632813
1.197   -617.650451660156   -845.079223632813
1.203   -617.689331054688   -845.4208984375
1.208   -617.72802734375   -845.497192382813
1.213   -617.72802734375   -845.497192382813
1.218   -617.708679199219   -845.572998046875
1.223   -617.708679199219   -845.572998046875
1.229   -617.689331054688   -845.572998046875
1.234   -617.689331054688   -845.572998046875
1.239   -617.689331054688   -845.648803710938
1.244   -617.689331054688   -845.648803710938
1.249   -617.708679199219   -845.686706542969
1.254   -617.708679199219   -845.686706542969
1.26   -617.747436523438   -846.218383789063
1.265   -617.708679199219   -846.294189453125
1.27   -617.708679199219   -846.294189453125
1.275   -617.708679199219   -846.408447265625
1.28   -617.708679199219   -846.408447265625
1.286   -617.747436523438   -846.56005859375
1.291   -617.747436523438   -846.56005859375
1.296   -617.708679199219   -846.750061035156
1.301   -617.708679199219   -846.750061035156
1.306   -617.708679199219   -846.787963867188
1.312   -617.708679199219   -846.787963867188
1.317   -617.689331054688   -846.787963867188
1.322   -617.708679199219   -847.129638671875
1.327   -617.708679199219   -847.129638671875
1.332   -617.747436523438   -847.623413085938
1.338   -617.747436523438   -847.623413085938
1.343   -617.72802734375   -847.927124023438
1.348   -617.72802734375   -847.927124023438
1.353   -617.689331054688   -848.0029296875
1.358   -617.689331054688   -848.0029296875
1.363   -617.669799804688   -848.230895996094
1.369   -617.669799804688   -848.230895996094
1.374   -617.689331054688   -848.306701660156
1.379   -617.72802734375   -848.42041015625
1.384   -617.72802734375   -848.42041015625
1.389   -617.708679199219   -848.344604492188
1.395   -617.708679199219   -848.344604492188
1.4   -617.747436523438   -848.458312988281
1.405   -617.747436523438   -848.458312988281
1.41   -617.708679199219   -848.344604492188
1.415   -617.708679199219   -848.344604492188
1.42   -617.669799804688   -848.496704101563
1.426   -617.669799804688   -848.496704101563
1.431   -617.669799804688   -848.648376464844
1.436   -617.669799804688   -849.104187011719
1.441   -617.669799804688   -849.104187011719
1.446   -617.689331054688   -849.217956542969
1.452   -617.689331054688   -849.217956542969
1.457   -617.689331054688   -849.407958984375
1.462   -617.689331054688   -849.407958984375
1.467   -617.689331054688   -849.5595703125
1.472   -617.689331054688   -849.5595703125
1.478   -617.708679199219   -849.5595703125
1.483   -617.708679199219   -849.5595703125
1.488   -617.708679199219   -849.483764648438
1.493   -617.689331054688   -849.521667480469
1.498   -617.689331054688   -849.521667480469
1.503   -617.650451660156   -849.521667480469
1.509   -617.650451660156   -849.521667480469
1.514   -617.631042480469   -849.749633789063
